"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_indec_id"
"2019-03-06","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","Seguimiento concluido sin derivación",""
"2019-03-06","SALUD","Salud mental","Buenos Aires","No se derivó a seguimiento",""
"2019-03-06","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Robo o hurto","Buenos Aires","No se derivó a seguimiento",""
"2019-03-06","VIOLENCIA DE GÉNERO","Simbólica","MENDOZA","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Corrientes ","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Corrientes ","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-07","TRABAJO","Cuestiones salariales o de registración","Buenos Aires","No se derivó a seguimiento",""
"2019-03-07","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-09","VIOLENCIA DE GÉNERO","Física, Psicológica","Santa Fe ","No se derivó a seguimiento",""
"2019-03-11","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","CABA","No se derivó a seguimiento",""
"2019-03-11","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","Córdoba","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Córdoba","No se derivó a seguimiento",""
"2019-03-12","VIOLENCIA DE GÉNERO","Económica, Psicológica","Buenos Aires ","No se derivó a seguimiento",""
"2019-03-12","RELACIONES DE FAMILIA","Violencia intrafamiliar","Buenos Aires","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Buenos Aires","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-13","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-13","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-13","SALUD","Salud mental","CABA","No se derivó a seguimiento",""
"2019-03-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-14","VIVIENDA","Desalojo u ocupación de vivienda","Misiones","No se derivó a seguimiento",""
"2019-03-14","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-14","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-15","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-15","DAÑOS Y RESPONSABILIDAD CIVIL","Otro (Daños y responsabilidad civil)","Buenos Aires","No se derivó a seguimiento",""
"2019-03-15","ACTOS DEL GOBIERNO o AGENTES PÚBLICOS","Otro (Actos del Gobierno o Agentes Públicos)","NS/NC","No se derivó a seguimiento",""
"2019-03-15","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-16","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","NS/NC","Informe Organismo de Niñez",""
"2019-03-16","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","Buenos Aires","No se derivó a seguimiento",""
"2019-03-16","SALUD","Consumo problemático, adicciones o alcoholismo","NS/NC","No se derivó a seguimiento",""
"2019-03-17","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Buenos Aires","No se derivó a seguimiento",""
"2019-03-17","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-17","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-18","VIOLENCIA DE GÉNERO","Física","MENDOZA","No se derivó a seguimiento",""
"2019-03-18","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","Seguimiento concluido sin derivación",""
"2019-03-18","RELACIONES DE FAMILIA","Otro (Relaciones de familia)","NS/NC","No se derivó a seguimiento",""
"2019-03-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-19","SALUD","Salud mental","Buenos Aires","No se derivó a seguimiento",""
"2019-03-19","RELACIONES DE FAMILIA","Violencia intrafamiliar","CHACO ","Informe Organismo de Niñez",""
"2019-03-19","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-19","RELACIONES DE FAMILIA","Violencia intrafamiliar","Santa Fe ","No se derivó a seguimiento",""
"2019-03-19","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","NS/NC","No se derivó a seguimiento",""
"2019-03-19","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Santa Fe ","No se derivó a seguimiento",""
"2019-03-20","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-20","RELACIONES DE FAMILIA","Violencia intrafamiliar","Entre Rios","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Santa Fe ","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Santa Fe ","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-21","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","Seguimiento concluido sin derivación",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-21","JUSTICIA PENAL","Situación de personas investigadas, imputadas o procesadas penalmente","NS/NC","No se derivó a seguimiento",""
"2019-03-21","JUSTICIA PENAL","Otro (Justicia Penal)","Santiago del Estero","No se derivó a seguimiento",""
"2019-03-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","Seguimiento concluido sin derivación",""
"2019-03-22","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Buenos Aires","No se derivó a seguimiento",""
"2019-03-22","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Buenos Aires","No se derivó a seguimiento",""
"2019-03-22","VÍCTIMA DE DELITO","Otro","NS/NC","No se derivó a seguimiento",""
"2019-03-22","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-22","JUSTICIA PENAL","Situación de personas investigadas, imputadas o procesadas penalmente","Buenos Aires","No se derivó a seguimiento",""
"2019-03-22","TRABAJO","Cuestiones salariales o de registración","neuquen","No se derivó a seguimiento",""
"2019-03-23","SEGURIDAD SOCIAL (PROTECCIÓN SOCIAL)","Otro (Seguridad social)","NS/NC","No se derivó a seguimiento",""
"2019-03-23","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Córdoba","No se derivó a seguimiento",""
"2019-03-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Córdoba","No se derivó a seguimiento",""
"2019-03-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Córdoba","No se derivó a seguimiento",""
"2019-03-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Córdoba","No se derivó a seguimiento",""
"2019-03-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Córdoba","No se derivó a seguimiento",""
"2019-03-24","RELACIONES DE FAMILIA","Violencia intrafamiliar","CABA","Informe Organismo de Niñez",""
"2019-03-25","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-25","RELACIONES DE FAMILIA","Deberes de responsabilidad parental o familiar, Protección de niños, niñas y adolescentes en desamparo, Otro (Relaciones de familia)","Santa Fe ","No se derivó a seguimiento",""
"2019-03-25","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","NS/NC","No se derivó a seguimiento",""
"2019-03-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-25","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","CABA","No se derivó a seguimiento",""
"2019-03-25","SALUD","Consumo problemático, adicciones o alcoholismo, Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Catamarca","Seguimiento concluido sin derivación",""
"2019-03-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Catamarca","No se derivó a seguimiento",""
"2019-03-25","VIOLENCIA DE GÉNERO","Simbólica","NS/NC","No se derivó a seguimiento",""
"2019-03-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VIOLENCIA DE GÉNERO","Física, Psicológica, Sexual","Tucumán","No se derivó a seguimiento",""
"2019-03-26","RELACIONES DE FAMILIA","Violencia intrafamiliar","SANTA FE","No se derivó a seguimiento",""
"2019-03-26","RELACIONES DE FAMILIA","Violencia intrafamiliar","SANTA FE","No se derivó a seguimiento",""
"2019-03-26","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","NS/NC","Informe Organismo de Niñez",""
"2019-03-26","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","MENDOZA","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","CABA","No se derivó a seguimiento",""
"2019-03-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-27","JUSTICIA PENAL","Problemas con el/la Defensor/a Público/a","CABA","No se derivó a seguimiento",""
"2019-03-27","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","Buenos Aires","No se derivó a seguimiento",""
"2019-03-27","SALUD","Salud mental","Entre Ríos","No se derivó a seguimiento",""
"2019-03-27","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","Buenos Aires","No se derivó a seguimiento",""
"2019-03-27","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","CABA","No se derivó a seguimiento",""
"2019-03-27","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Buenos Aires","No se derivó a seguimiento",""
"2019-03-28","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-28","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-28","SALUD","Salud mental","NS/NC","No se derivó a seguimiento",""
"2019-03-28","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","Río Negro","No se derivó a seguimiento",""
"2019-03-28","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-29","SEGURIDAD SOCIAL (PROTECCIÓN SOCIAL)","Otro (Seguridad social)","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","NS/NC","No se derivó a seguimiento",""
"2019-03-29","RELACIONES DE FAMILIA","Violencia intrafamiliar","NS/NC","No se derivó a seguimiento",""
"2019-03-29","RELACIONES DE FAMILIA","Violencia intrafamiliar","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Buenos Aires","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","MENDOZA","No se derivó a seguimiento",""
"2019-03-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Buenos Aires","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Buenos Aires","No se derivó a seguimiento",""
"2019-03-30","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","JUSTICIA PENAL","Otro (Justicia Penal)","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","NS/NC","No se derivó a seguimiento",""
"2019-03-31","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","Buenos Aires","No se derivó a seguimiento",""
