"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-10-22","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-22","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-22","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","No se derivó a seguimiento","Tucumán","90"
"2019-10-22","TRATA","Oferta laboral engañosa","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-22","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-23","TRATA","Persona desaparecida","No se derivó a seguimiento","NS/NC",""
"2019-10-23","TRATA","Explotación sexual","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-23","TRATA","Otro","No se derivó a seguimiento","Mendoza","50"
"2019-10-23","TRATA","Otro","No se derivó a seguimiento","Entre Rios","30"
"2019-10-24","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-24","TRATA","Persona desaparecida","No se derivó a seguimiento","NS/NC",""
"2019-10-24","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-25","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","Organismo de niñez","Chubut ","26"
"2019-10-25","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-25","TRATA","Otro","No se derivó a seguimiento","NS/NC",""
"2019-10-26","TRATA","Posible captación","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","San Juan ","70"
"2019-10-28","TRATA","Explotación sexual","No se derivó a seguimiento","San Luis ","74"
"2019-10-28","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Formosa ","34"
"2019-10-28","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","NS/NC",""
"2019-10-29","TRATA","Otro","No se derivó a seguimiento","Mendoza ","50"
"2019-10-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Jujuy","38"
"2019-10-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Cordoba","14"
"2019-10-29","TRATA","Explotación laboral","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","Santa Fe","82"
"2019-10-29","TRATA","Otro","No se derivó a seguimiento","Chaco ","22"
"2019-10-29","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No se derivó a seguimiento","NS/NC",""
"2019-10-30","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","No se derivó a seguimiento","NS/NC",""
"2019-10-30","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","No se derivó a seguimiento","NS/NC",""
"2019-10-30","TRATA","Pornografía infantil","No se derivó a seguimiento","NS/NC",""
"2019-10-30","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Mendoza ","50"
"2019-10-30","TRATA","Otro","No se derivó a seguimiento","Buenos Aires","06"
"2019-10-31","TRATA","Explotación sexual","No se derivó a seguimiento","Buenos Aires","06"
