"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-05-20","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-05-20","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Tucuman","90"
"2019-05-20","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-05-21","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-21","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
"2019-05-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","CABA","02"
"2019-05-21","RELACIONES DE FAMILIA","Familiar con consumo problemático, adicciones o alcoholismo, Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-21","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-21","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-21","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Santa Fe","82"
"2019-05-21","RELACIONES DE FAMILIA","Otro (Relaciones de familia)","No fue derivada a seguimiento","Chaco ","22"
"2019-05-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivada a seguimiento","NS/NC",""
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming","No fue derivada a seguimiento","Chubut","26"
"2019-05-22","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Santiago  del Estero",""
"2019-05-23","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-05-23","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires ","06"
"2019-05-23","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
"2019-05-23","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
"2019-05-23","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","Entre Rios","30"
"2019-05-25","JUSTICIA PENAL","Agravamiento en las formas o condiciones de detención","No fue derivada a seguimiento","NS/NC",""
"2019-05-25","RELACIONES DE FAMILIA","Deberes de responsabilidad parental o familiar","No fue derivada a seguimiento","NS/NC",""
"2019-05-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","Buenos Aires","06"
"2019-05-26","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","CABA","02"
"2019-05-26","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","CABA","02"
"2019-05-26","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","CABA","02"
"2019-05-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Corrientes","18"
"2019-05-27","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","Misiónes",""
"2019-05-27","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivada a seguimiento","NS/NC",""
"2019-05-27","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming","No fue derivada a seguimiento","NS/NC",""
"2019-05-30","RELACIONES DE FAMILIA","Otro (Relaciones de familia)","No fue derivada a seguimiento","NS/NC",""
"2019-05-30","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","NS/NC",""
"2019-05-30","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","NS/NC",""
"2019-05-30","ACTOS DEL GOBIERNO o AGENTES PÚBLICOS","Maltrato en oficinas públicas","No fue derivada a seguimiento","NS/NC",""
"2019-05-30","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-05-31","SEGURIDAD SOCIAL (PROTECCIÓN SOCIAL)","Otro (Seguridad social)","No fue derivada a seguimiento","NS/NC",""
"2019-05-31","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","NS/NC",""
"2019-05-31","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Robo o hurto","No fue derivada a seguimiento","NS/NC",""
"2019-05-31","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","Córdoba","14"
"2019-05-31","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
