"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-06-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","Chaco","22"
"2019-06-18","TRATA","Explotación laboral","No fue derivada a seguimiento","San Luis","74"
"2019-06-18","TRATA","Otro","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","NS/NC",""
"2019-06-21","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Robo o hurto, CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-23","TRATA","Otro","No fue derivada a seguimiento","Mendoza ","50"
"2019-06-25","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","NS/NC",""
"2019-06-26","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","En curso","Buenos Aires","06"
"2019-06-27","VÍCTIMA DE DELITO","CONTRA LA ADMINISTRACIÓN PÚBLICA: Abuso de autoridad, violación a los deberes de funcionario público, denegación o de justicia","En curso","Santiago del Estero","86"
"2019-06-27","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Tucumán","90"
"2019-06-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No se derivó a seguimiento","Buenos Aires","06"
"2019-06-29","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No se derivó a seguimiento","Mendoza ","50"
"2019-06-28","RELACIONES DE FAMILIA","Violencia intrafamiliar","En curso","Buenos Aires","06"
