"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_indec_id"
"2019-04-12","TRABAJO","Cuestiones salariales o de registración, Malas condiciones de trabajo, incluida la inseguridad, salubridad o problemas de medio ambiente, Maltrato, discriminación, falta de respeto, acoso, hostigamiento o mobbing","No fue derivado a seguimiento","Mendoza","50"
"2019-04-12","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-12","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-12","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Seguimiento concluido sin derivación","Buenos Aires","06"
"2019-04-13","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-13","SALUD","Consumo problemático, adicciones o alcoholismo","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-14","DERECHOS DE USUARIOS/AS Y CONSUMIDORES/AS","Otro (Derechos de usuarios/as y consumidores/as)","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-14","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","SALUD","PAMI","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIVIENDA","Situación de calle actual o inminente, acceso a paradores u hogares transitorios, etc.","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","TRABAJO","Cuestiones salariales o de registración","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","SALUD","Consumo problemático, adicciones o alcoholismo, Salud mental","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-15","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","VIOLENCIA DE GÉNERO","Física","No fue derivado a seguimiento","NS/NC",""
"2019-04-15","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","No fue derivado a seguimiento","NS/NC",""
"2019-04-16","RELACIONES DE FAMILIA","Violencia intrafamiliar","No fue derivado a seguimiento","Chaco","22"
"2019-04-16","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","No fue derivado a seguimiento","Chaco","22"
"2019-04-16","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-16","SALUD","Salud mental","No fue derivado a seguimiento","NS/NC",""
"2019-04-16","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Tucumán ","90"
"2019-04-16","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Tucumán ","90"
"2019-04-16","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Tucumán ","90"
"2019-04-16","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Se constituyó en denuncia","Neuquen","58"
"2019-04-16","VIOLENCIA DE GÉNERO","Psicológica","No fue derivado a seguimiento","NS/NC",""
"2019-04-17","VIOLENCIA DE GÉNERO","Psicológica","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-17","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-18","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-19","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivado a seguimiento","Santa Fe","82"
"2019-04-20","VIOLENCIA DE GÉNERO","Física","No fue derivado a seguimiento","NS/NC",""
"2019-04-20","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-20","DAÑOS Y RESPONSABILIDAD CIVIL","Otro (Daños y responsabilidad civil)","No fue derivado a seguimiento","NS/NC",""
"2019-04-20","VIOLENCIA DE GÉNERO","Simbólica","No fue derivado a seguimiento","NS/NC",""
"2019-04-21","SALUD","Salud mental, Otro (Salud)","No fue derivado a seguimiento","Córdoba","14"
"2019-04-21","SALUD","Salud mental, Otro (Salud)","No fue derivado a seguimiento","Córdoba","14"
"2019-04-21","SALUD","Salud mental, Otro (Salud)","No fue derivado a seguimiento","Córdoba","14"
"2019-04-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito) ","No fue derivado a seguimiento","Mendoza","50"
"2019-04-22","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","Seguimiento concluido sin derivación","Buenos Aires","06"
"2019-04-22","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo","Seguimiento concluido sin derivación","NS/NC",""
"2019-04-22","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","No fue derivado a seguimiento","Chaco","22"
"2019-04-22","JUSTICIA PENAL","Irregularidades en el proceso penal","No fue derivado a seguimiento","NS/NC",""
"2019-04-22","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-22","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivado a seguimiento","NS/NC",""
"2019-04-23","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-23","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar, Otro (Relaciones de familia)","Otros organismos","Chaco","22"
"2019-04-23","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-24","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming, CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-25","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-25","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-25","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-25","JUSTICIA PENAL","Problemas con el/la Defensor/a Público/a","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-25","RELACIONES DE FAMILIA","Cuidado personal, Régimen comunicacional o Custodia Legal","No fue derivado a seguimiento","Mendoza","50"
"2019-04-25","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivado a seguimiento","NS/NC",""
"2019-04-26","SALUD","Salud mental","No fue derivado a seguimiento","Buenos Aires","06"
"2019-04-28","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-28","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-28","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-28","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
"2019-04-28","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivado a seguimiento","NS/NC",""
