"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-01-09","Discapacidad","Buenos Aires","No"
"2018-01-10","Personas privadas de su libertad","Corrientes","No"
"2018-01-10","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-10","Adicciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-10","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-10","Trata de personas","Tucumán","No"
"2018-01-10","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-11","Trata de personas","Buenos Aires","No"
"2018-01-11","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","Sí"
"2018-01-11","Consulta por judicializaciones","Misiones","No"
"2018-01-11","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-11","Trata de personas","Internet","No"
"2018-01-11","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-11","Salud mental","Buenos Aires","No"
"2018-01-11","Consulta por judicializaciones","Buenos Aires","No"
"2018-01-12","Violencia laboral","Buenos Aires","No"
"2018-01-12","Trata de personas","Buenos Aires","No"
"2018-01-12","Violencia familiar","Santa Fe","No"
"2018-01-12","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-01-13","Adicciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-13","Violencia de género","Mendoza","No"
"2018-01-13","Violencia familiar","Buenos Aires","No"
"2018-01-14","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-01-14","Personas privadas de su libertad","Buenos Aires","No"
"2018-01-15","Discapacidad","Santa Fe","No"
"2018-01-15","Adultos mayores","Ciudad Autónoma de Buenos Aires","No"
"2018-01-16","Trata de personas","Sin dato/no contesta","No"
"2018-01-16","Personas privadas de su libertad","Ciudad Autónoma de Buenos Aires","No"
"2018-01-16","Salud mental","Buenos Aires","No"
"2018-01-16","Consulta por judicializaciones","Tucumán","No"
"2018-01-16","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-16","Adultos mayores","San Luis","No"
"2018-01-16","Violencia de género","Sin dato/no contesta","No"
"2018-01-17","Trata de personas","Santa Fe","No"
"2018-01-17","Salud mental","Buenos Aires","No"
"2018-01-17","Trata de personas","Buenos Aires","No"
"2018-01-17","Trata de personas","La Pampa","No"
"2018-01-17","Salud mental","Santa Cruz","No"
"2018-01-17","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-17","Consulta por judicializaciones","Sin dato/no contesta","No"
"2018-01-17","Consulta por judicializaciones","Salta","No"
"2018-01-18","Violencia de género","Ciudad Autónoma de Buenos Aires","No"
"2018-01-18","Salud mental","Santa Fe","No"
"2018-01-19","Trata de personas","Córdoba","No"
"2018-01-19","Trata de personas","Buenos Aires","No"
"2018-01-19","Trata de personas","Buenos Aires","No"
"2018-01-19","Adicciones","Ciudad Autónoma de Buenos Aires","No"
"2018-01-19","Adultos mayores","Buenos Aires","No"
"2018-01-19","Discriminación","Buenos Aires","No"
"2018-01-19","Discapacidad","Ciudad Autónoma de Buenos Aires","No"
"2018-01-19","Salud mental","Buenos Aires","No"
"2018-01-20","Personas privadas de su libertad","Buenos Aires","No"
"2018-01-20","Trata de personas","Buenos Aires","Sí"
"2018-01-21","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-21","Violencia de género","Buenos Aires","Sí"
"2018-01-22","Trata de personas","Sin dato/no contesta","No"
"2018-01-22","Violencia familiar","Mendoza","No"
"2018-01-22","Trata de personas","Buenos Aires","Sí"
"2018-01-22","Consulta por judicializaciones","Tucumán","No"
"2018-01-22","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-01-22","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-01-23","Salud mental","Buenos Aires","No"
"2018-01-23","Salud mental","Salta","Sí"
"2018-01-23","Salud mental","Buenos Aires","No"
"2018-01-23","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-01-23","Salud mental","Buenos Aires","No"
"2018-01-23","Trata de personas","Buenos Aires","Sí"
"2018-01-23","Personas privadas de su libertad","Buenos Aires","No"
"2018-01-24","Trabajo no registrado","Ciudad Autónoma de Buenos Aires","No"
"2018-01-23","Trata de personas","Buenos Aires","Sí"
"2018-01-24","Consulta por judicializaciones","Sin datos","No"
"2018-01-24","Salud mental","Buenos Aires","No"
"2018-01-24","Violencia familiar","Chaco","No"
"2018-01-24","Trata de personas","Buenos Aires","Sí"
"2018-01-25","Trata de personas","La Pampa","No"
"2018-01-25","Trata de personas","Sin dato/no contesta","No"
"2018-01-25","Salud mental","Sin dato/no contesta","No"
"2018-01-26","Violencia de género","Buenos Aires","No"
"2018-01-26","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-26","Salud mental","Buenos Aires","No"
"2018-01-26","Violencia de género","Santa Fe","Sí"
"2018-01-26","Violencia de género","Río Negro","Sí"
"2018-01-26","Consulta por judicializaciones","Mendoza","No"
"2018-01-26","Trata de personas","Corrientes","No"
"2018-01-26","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-27","Discriminación","Sin dato/no contesta","No"
"2018-01-27","Violencia familiar","Buenos Aires","Sí"
"2018-01-28","Trata de personas","Córdoba","No"
"2018-01-29","Violencia de género","Buenos Aires","Sí"
"2018-01-29","Trata de personas","Sin dato/no contesta","No"
"2018-01-29","Violencia familiar","Tucumán","Sí"
"2018-01-29","Consulta por judicializaciones","San Luis","No"
"2018-01-29","Consulta por judicializaciones","Mendoza","No"
"2018-01-29","Consulta por judicializaciones","Mendoza","No"
"2018-01-30","Trata de personas","Buenos Aires","No"
"2018-01-30","Consulta por judicializaciones","Santa Fe","No"
"2018-01-30","Salud mental","Sin dato/no contesta","No"
"2018-01-30","Violencia de género","Jujuy","No"
"2018-01-30","Trata de personas","Buenos Aires","No"
"2018-01-30","Trata de personas","Sin dato/no contesta","Sí"
"2018-01-30","Trata de personas","Buenos Aires","Sí"
"2018-01-30","Niñez y adolescencia en riesgo","Mendoza","No"
"2018-01-30","Trata de personas","Buenos Aires","Sí"
"2018-01-31","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-01-31","Trata de personas","Buenos Aires","No"
"2018-01-31","Adultos mayores","Buenos Aires","No"
"2018-01-31","Adultos mayores","Buenos Aires","No"
"2018-01-31","Adultos mayores","Sin dato/no contesta","No"
"2018-01-31","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-01-31","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-01-31","Violencia de género","Córdoba","No"
"2018-01-31","Consulta por judicializaciones","Buenos Aires","No"
"2018-01-31","Violencia familiar","Mendoza","No"
