"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-04-11","Niñez y adolescencia en riesgo","Buenos Aires","Sí"
"2018-04-11","Personas privadas de su libertad","Buenos Aires","No"
"2018-04-11","Adultos mayores","Catamarca","No"
"2018-04-12","Salud mental","Santiago del Estero","No"
"2018-04-12","Salud mental","Buenos Aires","No"
"2018-04-13","Salud mental","Buenos Aires","No"
"2018-04-13","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-04-13","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-04-13","Trabajo no registrado","Ciudad Autónoma de Buenos Aires","No"
"2018-04-13","Violencia familiar","Mendoza","No"
"2018-04-15","Violencia de género","Buenos Aires","No"
"2018-04-15","Violencia de género","Buenos Aires","No"
"2018-04-15","Consulta por judicializaciones","Neuquén","No"
"2018-04-15","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-04-16","Salud mental","Buenos Aires","No"
"2018-04-16","Otros","Mendoza","Sí"
"2018-04-16","Violencia institucional","Jujuy","No"
"2018-04-16","Niñez y adolescencia en riesgo","Santa Fe","Sí"
"2018-04-16","Otros","Buenos Aires","No"
"2018-04-17","Consulta por judicializaciones","Buenos Aires","No"
"2018-04-17","Trata de personas","Buenos Aires","No"
"2018-04-17","Trata de personas","Sin dato/no contesta","No"
"2018-04-17","Violencia laboral","Entre Ríos","No"
"2018-04-17","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","Sí"
"2018-04-17","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-04-17","Trata de personas","Córdoba","No"
"2018-04-17","Salud mental","Santiago del Estero","No"
"2018-04-19","Salud mental","Ciudad Autónoma de Buenos Aires","No"
"2018-04-19","Violencia familiar","Ciudad Autónoma de Buenos Aires","No"
"2018-04-19","Salud mental","Ciudad Autónoma de Buenos Aires","No"
"2018-04-20","Violencia familiar","Ciudad Autónoma de Buenos Aires","No"
"2018-04-20","Violencia familiar","Tucumán","Sí"
"2018-04-21","Violencia de género","Buenos Aires","No"
"2018-04-21","Violencia familiar","Buenos Aires","Sí"
"2018-04-22","Trata de personas","Chaco","Sí"
"2018-04-22","Trata de personas","Otro país donde ocurre el hecho","No"
"2018-04-23","Adultos mayores","Ciudad Autónoma de Buenos Aires","No"
"2018-04-23","Consulta por judicializaciones","Formosa","No"
"2018-04-23","Trata de personas","Buenos Aires","No"
"2018-04-23","Violencia de género","Buenos Aires","No"
"2018-04-24","Violencia de género","Santa Fe","No"
"2018-04-24","Trata de personas","Ciudad Autónoma de Buenos Aires","Sí"
"2018-04-24","Salud mental","Sin dato/no contesta","No"
"2018-04-24","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-04-24","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-04-24","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-04-24","Violencia familiar","Buenos Aires","Sí"
"2018-04-25","Trata de personas","Chaco","No"
"2018-04-26","Consulta por judicializaciones","Río Negro","No"
"2018-04-26","Consulta por judicializaciones","Santa Fe","No"
"2018-04-26","Otros","Sin dato/no contesta","No"
"2018-04-26","Salud mental","Sin dato/no contesta","No"
"2018-04-26","Adultos mayores","Mendoza","Sí"
"2018-04-26","Otros","Sin dato/no contesta","No"
"2018-04-27","Otros","Buenos Aires","No"
"2018-04-27","Trata de personas","Buenos Aires","No"
"2018-04-27","Trata de personas","Buenos Aires","No"
"2018-04-27","Niñez y adolescencia en riesgo","Santa Fe","Sí"
"2018-04-27","Salud mental","Sin dato/no contesta","No"
"2018-04-27","Adultos mayores","Mendoza","No"
"2018-04-28","Otros","Chaco","No"
"2018-04-28","Trata de personas","Buenos Aires","No"
"2018-04-28","Salud mental","Buenos Aires","No"
"2018-04-29","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-04-29","Salud mental","Ciudad Autónoma de Buenos Aires","No"
"2018-04-29","Violencia de género","Córdoba","No"
"2018-04-29","Consulta por judicializaciones","Catamarca","No"
"2018-04-29","Consulta por judicializaciones","Santa Fe","No"
"2018-04-29","Trata de personas","Santa Cruz","No"
"2018-04-30","Adultos mayores","Mendoza","No"
"2018-04-30","Consulta por judicializaciones","Entre Ríos","No"
"2018-04-30","Violencia de género","Buenos Aires","No"
