"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-08-19","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-20","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-20","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-20","Trata de personas","Salta","No fue derivada a seguimiento","66"
"2018-08-20","Salud mental","Tucumán","No fue derivada a seguimiento","90"
"2018-08-21","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-21","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-21","Salud mental","Jujuy","No fue derivada a seguimiento","38"
"2018-08-21","Niñez y adolescencia en riesgo","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-21","Otros","Catamarca","En curso","10"
"2018-08-21","Consulta por judicializaciones","Corrientes","No fue derivada a seguimiento","18"
"2018-08-22","Niñez y adolescencia en riesgo","San Juan","Informe derivado a un organismo de niñez","70"
"2018-08-22","Trabajo no registrado","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-22","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-22","Personas privadas de su libertad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-22","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-22","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-22","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-22","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-22","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-23","Niñez y adolescencia en riesgo","San Juan","Informe derivado a un organismo de niñez","70"
"2018-08-23","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-23","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-24","Salud mental","San Luis","No fue derivada a seguimiento","74"
"2018-08-24","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-24","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-24","Trata de personas","Ciudad Autónoma de Buenos Aires","Se constituyó en denuncia","02"
"2018-08-24","Otros","Neuquén","No fue derivada a seguimiento","58"
"2018-08-24","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-24","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-24","Violencia de género","Neuquén","No fue derivada a seguimiento","58"
"2018-08-24","Otros","Neuquén","No fue derivada a seguimiento","58"
"2018-08-24","Violencia institucional","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-24","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-25","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-26","Discapacidad","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-26","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-26","Otros","Río Negro","No fue derivada a seguimiento","62"
"2018-08-26","Personas privadas de su libertad","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-26","Otros","Corrientes","No fue derivada a seguimiento","18"
"2018-08-26","Otros","Corrientes","No fue derivada a seguimiento","18"
"2018-08-27","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-28","Niñez y adolescencia en riesgo","Misiones","No fue derivada a seguimiento","54"
"2018-08-28","Consulta por judicializaciones","Mendoza","No fue derivada a seguimiento","50"
"2018-08-28","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-28","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-29","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-08-29","Consulta por judicializaciones","Corrientes","No fue derivada a seguimiento","18"
"2018-08-29","Trata de personas","Jujuy","No fue derivada a seguimiento","38"
"2018-08-29","Consulta por judicializaciones","Corrientes","No fue derivada a seguimiento","18"
"2018-08-30","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-08-30","Consulta por judicializaciones","Chubut","No fue derivada a seguimiento","26"
"2018-08-30","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-08-30","Otros","Entre Ríos","No fue derivada a seguimiento","30"
"2018-08-30","Violencia de género","Santa Fe","No fue derivada a seguimiento","82"
"2018-08-31","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
