"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-03-23","Niñez y adolescencia en riesgo","Misiones","Sí"
"2018-03-23","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-23","Trata de personas","Córdoba","No"
"2018-03-23","Consulta por judicializaciones","Buenos Aires","No"
"2018-03-23","Trata de personas","Córdoba","No"
"2018-03-24","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-21","Violencia institucional","Buenos Aires","No"
"2018-03-21","Trata de personas","Buenos Aires","No"
"2018-03-21","Otros","Jujuy","No"
"2018-03-25","Trata de personas","Chaco","No"
"2018-03-25","Consulta por judicializaciones","Santa Fe","No"
"2018-03-26","Niñez y adolescencia en riesgo","Córdoba","No"
"2018-03-26","Trata de personas","Otro país donde ocurre el hecho","No"
"2018-03-27","Violencia institucional","Ciudad Autónoma de Buenos Aires","No"
"2018-03-27","Trata de personas","Misiones","No"
"2018-03-27","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-27","Violencia laboral","Buenos Aires","Sí"
"2018-03-27","Otros","Buenos Aires","No"
"2018-03-28","Consulta por judicializaciones","Sin dato/no contesta","No"
"2018-03-28","Trata de personas","Buenos Aires","No"
"2018-03-29","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-03-30","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-03-30","Niñez y adolescencia en riesgo","Salta","Sí"
"2018-03-30","Trata de personas","Buenos Aires","No"
"2018-03-30","Otros","Ciudad Autónoma de Buenos Aires","No"
"2018-03-30","Otros","Buenos Aires","No"
"2018-03-31","Violencia de género","Buenos Aires","No"
"2018-03-31","Otros","Mendoza","No"
