"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-10-19","Otros","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-19","Trata de personas","Formosa","No fue derivada a seguimiento","34"
"2018-10-19","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-19","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-19","Trata de personas","Tucumán","No fue derivada a seguimiento","90"
"2018-10-20","Niñez y adolescencia en riesgo","Tucumán","No fue derivada a seguimiento","90"
"2018-10-21","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-21","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-10-22","Adultos mayores","Mendoza","No fue derivada a seguimiento","50"
"2018-10-22","Consulta por judicializaciones","San Luis","No fue derivada a seguimiento","74"
"2018-10-22","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-22","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-23","Discapacidad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-23","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-23","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-24","Otros","Varias víctimas oriundas de diversas provincias","No fue derivada a seguimiento",""
"2018-10-24","Otros","Varias víctimas oriundas de diversas provincias","No fue derivada a seguimiento",""
"2018-10-24","Personas privadas de su libertad","Córdoba","No fue derivada a seguimiento","14"
"2018-10-24","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-24","Otros","Tierra del Fuego","No fue derivada a seguimiento","94"
"2018-10-24","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-24","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-25","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-25","Consulta por judicializaciones","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-10-25","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-25","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-26","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-26","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-26","Personas privadas de su libertad","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-26","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-26","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-26","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-26","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-27","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-27","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-29","Niñez y adolescencia en riesgo","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-10-29","Niñez y adolescencia en riesgo","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-30","Violencia familiar","Córdoba","No fue derivada a seguimiento","14"
"2018-10-30","Otros","Mendoza","No fue derivada a seguimiento","50"
"2018-10-30","Consulta por judicializaciones","Santa Fe","No fue derivada a seguimiento","82"
"2018-10-30","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-31","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-31","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-31","Violencia de género","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-10-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-31","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-10-31","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-10-31","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
