"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-05-16","Sin datos","Formosa","No requirió derivación. Seguimiento cerrado"
"2018-05-16","Salud mental","Jujuy","Sin datos"
"2018-05-16","Sin datos","La Pampa","Sí"
"2018-05-17","Salud mental","Catamarca","Otros"
"2018-05-17","Sin datos","La Pampa","Sin datos"
"2018-05-17","Sin datos","La Pampa","Sí"
"2018-05-17","Sin datos","Entre Ríos","Sí"
"2018-05-17","Sin datos","La Rioja","Sí"
"2018-05-17","Sin datos","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-17","Sin datos","Neuquén","Sin datos"
"2018-05-17","Sin datos","Catamarca","No requirió derivación. Seguimiento cerrado"
"2018-05-17","Sin datos","La Pampa","No"
"2018-05-17","Sin datos","La Rioja","Sí"
"2018-05-17","Sin datos","Entre Ríos","No requirió derivación. Seguimiento cerrado"
"2018-05-18","Sin datos","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-18","Salud mental","Catamarca","Sí"
"2018-05-18","Sin datos","La Pampa","No"
"2018-05-18","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-05-18","Sin datos","Chaco","Sin datos"
"2018-05-20","Sin datos","Neuquén","Sí"
"2018-05-20","Sin datos","Neuquén","Sí"
"2018-05-21","Sin datos","La Pampa","Sí"
"2018-05-21","Sin datos","Neuquén","Sí"
"2018-05-21","Sin datos","Catamarca","Sí"
"2018-05-21","Sin datos","Entre Ríos","Sí"
"2018-05-21","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-05-21","Sin datos","Corrientes","No requirió derivación. Seguimiento cerrado"
"2018-05-21","Sin datos","La Pampa","Sin datos"
"2018-05-22","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-05-22","Sin datos","Jujuy","Sin datos"
"2018-05-22","Sin datos","La Rioja","Sin datos"
"2018-05-22","Sin datos","Neuquén","Sí"
"2018-05-22","Salud mental","La Pampa","Sí"
"2018-05-22","Sin datos","Ciudad Autónoma de Buenos Aires","No"
"2018-05-23","Sin datos","Jujuy","Sin datos"
"2018-05-23","Sin datos","La Rioja","Otros"
"2018-05-23","Sin datos","Neuquén","No"
"2018-05-23","Sin datos","La Pampa","Informe derivado a un organismo de tercera edad"
"2018-05-24","Sin datos","La Pampa","Sí"
"2018-05-24","Sin datos","La Rioja","Sin datos"
"2018-05-24","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-24","Salud mental","Catamarca","No requirió derivación. Seguimiento cerrado"
"2018-05-24","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-25","Sin datos","La Pampa","Otros"
"2018-05-26","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-27","Sin datos","Catamarca","Sí"
"2018-05-27","Sin datos","Entre Ríos","Sí"
"2018-05-27","Sin datos","Neuquén","Informe derivado a un organismo de niñez"
"2018-05-27","Sin datos","La Pampa","No"
"2018-05-27","Sin datos","La Pampa","Sí"
"2018-05-28","Sin datos","La Pampa","Sin datos"
"2018-05-28","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-05-28","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-05-29","Sin datos","Catamarca","No"
"2018-05-29","Sin datos","Catamarca","No"
"2018-05-29","Sin datos","Neuquén","No"
"2018-05-29","Sin datos","Mendoza","Sin datos"
"2018-05-29","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-05-29","Sin datos","La Pampa","Sin datos"
"2018-05-29","Sin datos","Chaco","Sin datos"
"2018-05-30","Salud mental","La Pampa","Sin datos"
"2018-05-30","Sin datos","Neuquén","No"
"2018-05-30","Sin datos","Neuquén","Sí"
"2018-05-31","Sin datos","Catamarca","Sí"
"2018-05-31","Sin datos","Chaco","Sí"
"2018-05-31","Sin datos","La Pampa","Sin datos"
"2018-05-31","Sin datos","La Pampa","Sin datos"
