"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-02-23","Trata de personas","Buenos Aires","No"
"2018-02-23","Niñez y adolescencia en riesgo","Santiago del Estero","Sí"
"2018-02-23","Trata de personas","Buenos Aires","No"
"2018-02-23","Violencia familiar","Buenos Aires","No"
"2018-02-24","Niñez y adolescencia en riesgo","Santiago del Estero","Sí"
"2018-02-24","Trata de personas","Salta","No"
"2018-02-25","Trata de personas","Buenos Aires","No"
"2018-02-25","Violencia familiar","Buenos Aires","No"
"2018-02-25","Salud mental","Santa Fe","No"
"2018-02-25","Salud mental","Entre Ríos","No"
"2018-02-25","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-26","Trata de personas","Buenos Aires","No"
"2018-02-26","Consulta por judicializaciones","Chubut","No"
"2018-02-26","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-26","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-26","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-27","Discriminación","Neuquén","No"
"2018-02-27","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-02-27","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No"
"2018-02-27","Adultos mayores","Buenos Aires","No"
"2018-02-27","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-02-27","Consulta por judicializaciones","Buenos Aires","No"
"2018-02-27","Violencia familiar","Buenos Aires","No"
"2018-02-27","Niñez y adolescencia en riesgo","Buenos Aires","No"
"2018-02-27","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
"2018-02-28","Adultos mayores","Tucumán","Sí"
"2018-02-28","Discapacidad","Buenos Aires","No"
"2018-02-28","Discapacidad","Buenos Aires","No"
"2018-02-28","Trata de personas","Ciudad Autónoma de Buenos Aires","No"
