"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-07-29","Violencia de género","La Pampa","No fue derivada a seguimiento","42"
"2018-07-29","Violencia de género","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-30","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-30","Otros","Neuquén","No fue derivada a seguimiento","58"
"2018-07-30","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-07-30","Niñez y adolescencia en riesgo","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-07-30","Salud mental","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-07-30","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-31","Salud mental","Entre Ríos","No fue derivada a seguimiento","30"
"2018-07-31","Otros","Mendoza","No fue derivada a seguimiento","50"
"2018-07-31","Violencia familiar","Tucumán","No fue derivada a seguimiento","90"
"2018-07-31","Consulta por judicializaciones","Chaco","No fue derivada a seguimiento","22"
"2018-07-31","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-31","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-07-31","Niñez y adolescencia en riesgo","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-07-31","Niñez y adolescencia en riesgo","Corrientes","No fue derivada a seguimiento","18"
