"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-09-20","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-21","Niñez y adolescencia en riesgo","Santiago del Estero","No fue derivada a seguimiento","86"
"2018-09-21","Niñez y adolescencia en riesgo","Sin dato/no contesta","En curso",""
"2018-09-21","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-22","Otros","Otro país donde ocurre el hecho","No fue derivada a seguimiento",""
"2018-09-23","Trata de personas","Catamarca","No fue derivada a seguimiento","10"
"2018-09-23","Trabajo no registrado","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-23","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-24","Trata de personas","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-09-24","Salud mental","Mendoza","En curso","50"
"2018-09-24","Salud mental","Buenos Aires","En curso","06"
"2018-09-25","Trata de personas","Mendoza","No fue derivada a seguimiento","50"
"2018-09-25","Adultos mayores","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-25","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-25","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-25","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-25","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-25","Niñez y adolescencia en riesgo","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-25","Consulta por judicializaciones","Entre Ríos","No fue derivada a seguimiento","30"
"2018-09-26","Violencia de género","Mendoza","No fue derivada a seguimiento","50"
"2018-09-26","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-26","Salud mental","Entre Ríos","No fue derivada a seguimiento","30"
"2018-09-26","Adultos mayores","Tucumán","No fue derivada a seguimiento","90"
"2018-09-27","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-27","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-09-27","Otros","Río Negro","No fue derivada a seguimiento","62"
"2018-09-27","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-27","Consulta por judicializaciones","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-28","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-28","Trata de personas","Otro país donde ocurre el hecho","No fue derivada a seguimiento",""
"2018-09-28","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-28","Salud mental","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-28","Violencia de género","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-29","Niñez y adolescencia en riesgo","Salta","No fue derivada a seguimiento","66"
"2018-09-29","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-29","Violencia de género","Buenos Aires","En curso","06"
"2018-09-29","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-29","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-29","Violencia institucional","Mendoza","No fue derivada a seguimiento","50"
"2018-09-29","Violencia de género","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-09-29","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-29","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-09-30","Otros","Entre Ríos","No fue derivada a seguimiento","30"
"2018-09-30","Violencia de género","Formosa","No fue derivada a seguimiento","34"
"2018-09-30","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
