"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-11-20","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-20","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-20","Adultos mayores","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-20","Adultos mayores","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-20","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-21","Otros","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-21","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-21","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-22","Trabajo no registrado","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-22","Violencia familiar","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-23","Violencia familiar","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-26","Consulta por judicializaciones","Córdoba","No requirió derivación. Seguimiento cerrado","14"
"2018-11-26","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-26","Consulta por judicializaciones","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-27","Otros","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-11-27","Niñez y adolescencia en riesgo","Buenos Aires","No requirió derivación. Seguimiento cerrado","06"
"2018-11-27","Adultos mayores","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-27","Niñez y adolescencia en riesgo","Formosa","En curso","34"
"2018-11-28","Niñez y adolescencia en riesgo","Misiones","No fue derivada a seguimiento","54"
"2018-11-29","Niñez y adolescencia en riesgo","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-29","Consulta por judicializaciones","Corrientes","No fue derivada a seguimiento","18"
"2018-11-29","Salud mental","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-29","Niñez y adolescencia en riesgo","Chaco","Informe derivado a un organismo de niñez","22"
"2018-11-30","Salud mental","Chaco","No fue derivada a seguimiento","22"
"2018-11-30","Adultos mayores","Buenos Aires","No fue derivada a seguimiento","06"
