denuncia_fecha,denuncia_previa,derivacion_seguimiento,llamante_anonimo,llamante_genero,llamante_rango_etario,llamante_provincia,llamante_es_victima,victima_genero,victima_rango_etario,victima_discapacidad,victima_embarazada,victima_provincia_origen,victima_cantidad,victima_nacionalidad,denunciado_genero,denunciado_rango_etario,denunciado_provincia,connivencia_fuerzas_seguridad,connivencia_poder_politico,hecho_provincia,denuncia_tipo_explotacion,denuncia_via_ingreso,acercamiento_tipo,derivacion_organismo,derivacion_fecha,llamante_provincia_indec_id,victima_provincia_origen_indec_id,denunciado_provincia_indec_id,hecho_provincia_indec_id
2018-06-06,Sí,No,Sí,Femenino,0 a 13,Chubut,Sin datos,Femenino,26 a 40,No,No,Buenos Aires,3,Extranjera,,0 a 13,Buenos Aires,No,No,Buenos Aires,Explotación laboral,Línea 145,Campañas del programa,Protex,2018-06-06,26,6,6,6
2018-06-06,Sí,No,Sí,No sabe/no contesta,0 a 13,Chaco,Sin datos,Situaciones con hombres y mujeres o trans (varios),14 a 16,No,No,Sin dato/no contesta,0,Extranjera,,26 a 40,Buenos Aires,No,No,Buenos Aires,Explotación laboral,Línea 145,Otros,Protex,2018-06-06,22,,6,6
2018-06-06,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,26 a 40,No,No,Sin dato/no contesta,6,Extranjera,,14 a 16,Santa Cruz,No,No,Santa Cruz,Explotación sexual,Línea 145,Campañas del programa,Protex,2018-06-06,,,78,78
2018-06-06,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,41 a 60,No,No,Santa Fe,1,Argentina,,14 a 16,Santa Fe,Sí,No,Santa Fe,Explotación sexual,Línea 145,Otros,Protex,2018-06-06,,82,82,82
2018-06-06,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,14 a 16,No,No,Mendoza,5,No refiere,,14 a 16,Mendoza,No,No,Mendoza,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-06,,50,50,50
2018-06-06,No,No,No,No sabe/no contesta,No refiere,Sin dato/no contesta,Sin datos,No sabe/no contesta,No refiere,No,No,Salta,23,No refiere,,No refiere,Sin dato/no contesta,No,No,Salta,Explotación laboral,Presencial,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-06,,66,,66
2018-06-06,Sí,No,Sí,Femenino,14 a 16,Sin dato/no contesta,Sin datos,Masculino,No refiere,No,No,Sin dato/no contesta,6,Extranjera,,14 a 16,Buenos Aires,No,No,Buenos Aires,Explotación laboral,Línea 145,Otros,Protex,2018-06-06,,,6,6
2018-06-06,No,No,Sí,No sabe/no contesta,0 a 13,Corrientes,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,0,Argentina,,14 a 16,Corrientes,Sí,Sí,Corrientes,Explotación sexual,Línea 145,TV,Protex,2018-06-06,18,,18,18
2018-06-07,No,No,No,Femenino,0 a 13,Sin dato/no contesta,Sin datos,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,12,Argentina,,No refiere,Buenos Aires,Sí,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-07,,,6,6
2018-06-07,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,0 a 13,No,No,Buenos Aires,1,Argentina,,No refiere,Buenos Aires,No,No,Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-07,,6,6,6
2018-06-07,No,No,No,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,26 a 40,No,No,Buenos Aires,1,Argentina,,No refiere,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-07,14,6,,
2018-06-07,No,No,No,No sabe/no contesta,0 a 13,Córdoba,Sin datos,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Buenos Aires,1,Argentina,,14 a 16,Sin dato/no contesta,No,No,Sin dato/no contesta,Desaparición,Línea 145,Otros,Protex,2018-06-07,14,6,,
2018-06-07,No,No,No,No sabe/no contesta,0 a 13,Córdoba,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,Argentina,,14 a 16,Buenos Aires,No,No,Sin dato/no contesta,Posible captación,Línea 145,Campañas del programa,Protex,2018-06-07,14,6,6,
2018-06-07,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Buenos Aires,Desaparición,Línea 145,ONG - Organismos nacionales,Protex,2018-06-07,,6,,6
2018-06-07,No,No,Sí,No sabe/no contesta,No refiere,Sin dato/no contesta,Sin datos,No sabe/no contesta,14 a 16,No,No,Tucumán,9,Argentina,,14 a 16,Tucumán,No,Sí,Tucumán,Explotación laboral,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-07,,90,90,90
2018-06-07,Sí,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),16 a 17 (específico para trabajo adolescente),No,No,Santa Fe,7,Argentina,,26 a 40,Santa Fe,Sí,No,Santa Fe,Explotación sexual,Línea 145,Otros,Protex,2018-06-07,,82,82,82
2018-06-08,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,16 a 17 (específico para trabajo adolescente),No,Sí,Sin dato/no contesta,5,Argentina,,14 a 16,Sin dato/no contesta,No,No,Neuquén,Explotación sexual,Línea 145,Internet,Fuerzas de seguridad federal,2018-06-08,14,,,58
2018-06-08,No,Sí,No,No sabe/no contesta,0 a 13,Chubut,Sí,Femenino,14 a 16,No,No,Ciudad Autónoma de Buenos Aires,2,Extranjera,,14 a 16,Sin dato/no contesta,No,Sí,Sin dato/no contesta,Explotación sexual,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-08,26,,,
2018-06-08,No,No,No,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,No refiere,No,No,Jujuy,4,Argentina,,0 a 13,Jujuy,Sí,No,Jujuy,Explotación sexual,Línea 145,TV,Fuerzas de seguridad federal,2018-06-08,14,38,38,38
2018-06-08,Sí,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Neuquén,Explotación sexual,Línea 145,Otros,Protex,2018-06-08,,,,58
2018-06-08,Sí,No,No,No sabe/no contesta,14 a 16,Córdoba,Sin datos,No sabe/no contesta,No refiere,No,No,Catamarca,50,Argentina,,14 a 16,Catamarca,Sí,Sí,Catamarca,Explotación laboral,Línea 145,Internet,Protex,2018-06-08,14,10,10,10
2018-06-09,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,18 a 25,No,No,Sin dato/no contesta,2,No refiere,,0 a 13,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Área legal para judicializar,2018-06-09,,,,
2018-06-09,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,14 a 16,No,No,Sin dato/no contesta,1,No refiere,,No refiere,Sin dato/no contesta,No,No,Santa Fe,Explotación sexual,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-09,,,,82
2018-06-10,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Río Negro,0,Extranjera,,No refiere,Río Negro,No,No,Río Negro,Explotación sexual,Línea 145,Internet,Protex,2018-06-10,,62,62,62
2018-06-11,No,No,No,Femenino,0 a 13,Chubut,Sin datos,Femenino,26 a 40,Sí,No,Tucumán,1,Argentina,,0 a 13,Internet,No,No,Internet,Explotación sexual,Línea 145,TV,Fuerzas de seguridad federal,2018-06-11,26,90,,
2018-06-11,Sí,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,18 a 25,No,No,Jujuy,0,No refiere,,14 a 16,Jujuy,No,No,Jujuy,Explotación sexual,Línea 145,Otros,Protex,2018-06-11,,38,38,38
2018-06-11,Sí,No,Sí,Femenino,14 a 16,Córdoba,Sí,Situaciones con hombres y mujeres o trans (varios),No refiere,No,No,Sin dato/no contesta,6,Extranjera,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,TV,Área legal para judicializar,2018-06-11,14,,,
2018-06-11,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Masculino,26 a 40,No,No,Mendoza,2,No refiere,,26 a 40,Mendoza,No,No,Mendoza,Venta de niños y otros delitos,Línea 145,Internet,Área legal para judicializar,2018-06-11,,50,50,50
2018-06-11,No,No,Sí,Femenino,0 a 13,Sin dato/no contesta,Sí,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,26 a 40,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Área legal para judicializar,2018-06-12,,,,
2018-06-12,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,No refiere,No,No,Ciudad Autónoma de Buenos Aires,1,Argentina,,0 a 13,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Correo institucional,Otros,Área legal para judicializar,2018-06-12,,,,
2018-06-14,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Sin dato/no contesta,Desaparición,Línea 145,Otros,Protex,2018-06-14,,6,,
2018-06-14,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,26 a 40,No,No,Ciudad Autónoma de Buenos Aires,3,Argentina,,0 a 13,Ciudad Autónoma de Buenos Aires,No,No,Sin dato/no contesta,Explotación sexual,Línea 145,Otros,Área legal para judicializar,2018-06-14,,,,
2018-06-14,No,No,Sí,Femenino,14 a 16,Córdoba,Sí,Situaciones con hombres y mujeres o trans (varios),14 a 16,No,No,Sin dato/no contesta,30,Extranjera,,26 a 40,Ciudad Autónoma de Buenos Aires,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Radio,Fuerzas de seguridad federal,2018-06-14,14,,,
2018-06-14,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Chubut,,No refiere,,26 a 40,Chubut,No,No,Chubut,Explotación sexual,Correo institucional,Otros,Protex,2018-06-14,,26,26,26
2018-06-14,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Situaciones con hombres y mujeres o trans (varios),No refiere,No,No,Sin dato/no contesta,0,No refiere,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Otros,Área legal para judicializar,2018-06-14,,,,
2018-06-14,Sí,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Chubut,,No refiere,,26 a 40,Chubut,No,No,Chubut,Explotación sexual,Correo institucional,Otros,Protex,2018-06-15,,26,26,26
2018-06-15,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,No refiere,,14 a 16,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-15,,6,6,6
2018-06-15,No,Sí,No,No sabe/no contesta,0 a 13,Chubut,Sí,Femenino,18 a 25,No,No,Buenos Aires,1,Argentina,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Venta de niños y otros delitos,Línea 145,Otros,Area legal ya judicializada,2018-06-15,26,6,,
2018-06-15,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Masculino,0 a 13,No,No,Buenos Aires,0,No refiere,,14 a 16,Buenos Aires,Sí,No,Buenos Aires,Venta de niños y otros delitos,Línea 145,Otros,Protex,2018-06-15,,6,6,6
2018-06-15,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),No refiere,No,No,Córdoba,0,Argentina,,14 a 16,Sin dato/no contesta,No,No,Córdoba,Explotación sexual,Línea 145,Otros,Protex,2018-06-15,,14,,14
2018-06-16,No,No,No,Femenino,0 a 13,Chaco,Sin datos,Femenino,18 a 25,No,No,Catamarca,1,Argentina,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Sin dato/no contesta,Oferta laboral engañosa,Línea 145,Otros,Protex,2018-06-16,22,10,,
2018-06-16,No,No,Sí,No sabe/no contesta,14 a 16,Corrientes,Sin datos,Masculino,41 a 60,No,No,Córdoba,1,Argentina,,0 a 13,Córdoba,No,No,Córdoba,Servidumbre doméstica,Línea 145,Otros,Protex,2018-06-16,18,14,14,14
2018-06-16,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,No sabe/no contesta,0 a 13,No,No,Mendoza,4,Argentina,,0 a 13,Neuquén,Sí,No,Neuquén,Explotación sexual,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-16,,50,58,58
2018-06-16,No,No,No,Femenino,14 a 16,Chaco,Sí,Masculino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,1,Extranjera,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Otros,Area legal ya judicializada,2018-06-17,22,,,
2018-06-17,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,No,Femenino,14 a 16,No,No,La Pampa,4,No refiere,,14 a 16,La Pampa,Sí,No,La Pampa,Explotación sexual,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-17,,42,42,42
2018-06-17,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,No refiere,,14 a 16,Sin dato/no contesta,No,No,Buenos Aires,Oferta laboral engañosa,Línea 145,ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-18,,6,,6
2018-06-17,No,No,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sí,Femenino,18 a 25,No,No,Sin dato/no contesta,1,Extranjera,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Teléfono institucional (no salientes),ONG - Organismos nacionales,Fuerzas de seguridad federal,2018-06-18,,,,
2018-06-18,Sí,Sí,No,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Chubut,0,Argentina,,26 a 40,Chubut,Sí,No,Chubut,Explotación sexual,Correo institucional,Otros,Protex,2018-06-18,,26,26,26
2018-06-18,No,No,No,Femenino,0 a 13,Chubut,Sin datos,Femenino,26 a 40,No,No,San Juan,0,Argentina,,No refiere,San Juan,No,No,San Juan,Explotación sexual,Línea 145,ONG - Organismos nacionales,Protex,2018-06-18,26,70,70,70
2018-06-19,No,Sí,Sí,Femenino,0 a 13,Catamarca,Sí,Femenino,16 a 17 (específico para trabajo adolescente),No,No,Ciudad Autónoma de Buenos Aires,1,Extranjera,,0 a 13,Buenos Aires,No,No,Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-19,10,,6,6
2018-06-19,No,No,No,No sabe/no contesta,14 a 16,Chubut,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,1,Argentina,,0 a 13,Ciudad Autónoma de Buenos Aires,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Internet,Area legal ya judicializada,2018-06-19,26,,,
2018-06-19,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,0 a 13,No,No,Sin dato/no contesta,1,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible trata de personas (hecho indefinido),Línea 145,Capacitación,Área legal para judicializar,2018-06-25,,,,
2018-06-19,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,No refiere,No,No,Buenos Aires,1,No refiere,,26 a 40,Buenos Aires,No,No,Buenos Aires,Posible captación,Línea 145,Internet,Fuerzas de seguridad federal,2018-06-19,14,6,6,6
2018-06-19,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,0 a 13,No,No,Mendoza,2,Argentina,,14 a 16,Mendoza,No,No,Mendoza,Explotación sexual,Línea 145,Internet,Fuerzas de seguridad federal,2018-06-19,,50,50,50
2018-06-19,No,Sí,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,14 a 16,No,No,Mendoza,1,Extranjera,,26 a 40,Mendoza,No,No,Mendoza,Posible trata de personas (hecho indefinido),Línea 145,Internet,Area legal ya judicializada,2018-06-20,,50,50,50
2018-06-20,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,No refiere,No,No,Córdoba,3,Argentina,,26 a 40,Córdoba,Sí,Sí,Córdoba,Explotación sexual,Línea 145,Boca en boca,Protex,2018-06-20,14,14,14,14
2018-06-20,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,0 a 13,Santa Fe,No,No,Santa Fe,Explotación sexual,Línea 145,TV,Protex,2018-06-20,,,82,82
2018-06-20,No,Sí,No,Femenino,0 a 13,Chubut,Sin datos,Femenino,26 a 40,No,No,Formosa,1,Argentina,,26 a 40,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-20,26,34,6,6
2018-06-20,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,San Juan,0,No refiere,,0 a 13,San Juan,No,No,San Juan,Explotación sexual,Línea 145,Otros,Protex,2018-06-20,,70,70,70
2018-06-21,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Masculino,26 a 40,No,No,Buenos Aires,0,Argentina,,No refiere,Sin dato/no contesta,No,No,Sin dato/no contesta,Desaparición,Línea 145,Otros,Protex,2018-06-21,,6,,
2018-06-21,No,No,Sí,No sabe/no contesta,14 a 16,Chubut,Sí,Masculino,No refiere,No,No,Ciudad Autónoma de Buenos Aires,6,Extranjera,,14 a 16,Ciudad Autónoma de Buenos Aires,No,Sí,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Boca en boca,Área legal para judicializar,2018-06-21,26,,,
2018-06-21,Sí,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,No sabe/no contesta,No refiere,No,No,Ciudad Autónoma de Buenos Aires,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Area legal ya judicializada,2018-06-21,,,,
2018-06-21,Sí,No,No,Femenino,0 a 13,Chubut,Sin datos,Femenino,14 a 16,No,No,Córdoba,5,No refiere,,26 a 40,Córdoba,No,No,Córdoba,Explotación sexual,Línea 145,Internet,Protex,2018-06-21,26,14,14,14
2018-06-21,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sí,Femenino,No refiere,No,No,Sin dato/no contesta,20,No refiere,,No refiere,Sin dato/no contesta,Sí,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Internet,Área legal para judicializar,2018-06-21,14,,,
2018-06-21,No,No,Sí,No sabe/no contesta,0 a 13,Chubut,Sí,Masculino,0 a 13,No,No,Ciudad Autónoma de Buenos Aires,2,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Internet,Área legal para judicializar,2018-06-22,26,,,
2018-06-22,Sí,No,Sí,Femenino,14 a 16,Sin dato/no contesta,Sí,No sabe/no contesta,No refiere,No,No,Sin dato/no contesta,0,No refiere,,0 a 13,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,ONG - Organismos nacionales,Área legal para judicializar,2018-06-22,,,,
2018-06-22,No,No,No,No sabe/no contesta,0 a 13,Chubut,Sin datos,Femenino,0 a 13,Sí,No,Córdoba,0,Argentina,,14 a 16,Córdoba,Sí,No,Buenos Aires,Explotación sexual,Línea 145,ONG - Organismos nacionales,Protex,2018-06-22,26,14,14,6
2018-06-22,No,No,No,No sabe/no contesta,0 a 13,Corrientes,Sin datos,Femenino,61 en adelante,No,No,Corrientes,0,Extranjera,,14 a 16,Corrientes,Sí,Sí,Corrientes,Explotación sexual,Línea 145,ONG - Organismos nacionales,Protex,2018-06-22,18,18,18,18
2018-06-22,No,No,Sí,No sabe/no contesta,14 a 16,Chubut,Sin datos,Femenino,14 a 16,No,No,Sin dato/no contesta,5,No refiere,,14 a 16,Sin dato/no contesta,No,No,Santa Fe,Explotación sexual,Línea 145,TV,Protex,2018-06-22,26,,,82
2018-06-22,Sí,No,Sí,No sabe/no contesta,0 a 13,Chubut,Sí,Masculino,0 a 13,No,No,Ciudad Autónoma de Buenos Aires,11,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación laboral,Línea 145,Internet,Fuerzas de seguridad federal,2018-06-22,26,,,
