"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"-89-43","Relacionada","No","Sí","Víctima Directa","Femenino","35","Mendoza","Presencia de M y Trans","19","No","No","NS/NC","Argentina","Masculino","79","Mendoza","No","No","16","Presencia de M y Trans","17","Mendoza","Explotación Sexual","Línea 145","NS/NC","Protex ","-89-43","50","","50","50"
"-89-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Presencia de M y Trans","12","No","No","Buenos Aires","Argentina","Presencia de M y H","35","Buenos Aires","No","No","2","Femenino","12","Buenos Aires","Explotación Sexual de N, N y A","Línea 145","NS/NC","Policía Federal y Protex","-89-43","06","06","06","06"
"-89-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","Buenos Aires","NS/NC","Masculino","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Explotación Laboral","Correo Electrónico","NS/NC","Area Legal para judicializar","-89-43","","06","","06"
"-89-43","Ampliatoria","no","No","No es Víctima","Masculino","NS/NC","CABA","Masculino","32","No","No","Mendoza","Argentina","Femenino","32","Mendoza","No","No","1","Masculino","32","Mendoza","Desaparición de personas","Línea 145","Internet","Protex ","-89-43","02","50","50","50"
"-89-43","Ampliatoria","no","No","No es Víctima","Masculino","NS/NC","CABA","Masculino","32","No","No","Mendoza","Argentina","Femenino","32","Mendoza","No","No","1","Masculino","32","Mendoza","Desaparición de personas","Línea 145","Internet","Protex ","-90-43","02","50","50","50"
"-90-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","CHACO","Femenino","15","No","No","Chaco","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","15","Chaco","Desaparición de personas","Línea 145","NS/NC","Protex ","-90-43","22","22","","22"
"-90-43","Nueva","No","Sí","No es Víctima","Femenino","30","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","NS/NC","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex","-90-43","06","","","06"
"-90-43","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","NS/NC","Masculino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","8","Masculino","NS/NC","Buenos Aires","Explotación Laboral","Correo Electrónico","ONG-Organismos nacionales","Protex ","-90-43","","","","06"
"-90-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Salta","Femenino","16","No","No","Salta","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","16","Salta","Desaparición de personas","Línea 145","NS/NC","Protex ","-90-43","66","66","","66"
"-90-43","Nueva","No","No","No es Víctima","Masculino","27","Salta","Femenino","75","No","No","Salta","NS/NC","Masculino","40","Salta","No","No","1","Femenino","75","Salta","Explotación Laboral","Línea 145","Otros modos de acercamiento a la Línea","Protex ","-90-43","66","66","66","66"
"-90-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","CABA","Femenino","NS/NC","No","No","ns/nc","NS/NC","NS/NC","NS/NC","NS/NC","No","No","8","Femenino","NS/NC","CABA","Publicidad de Oferta Sexual","Correo Electrónico","NS/NC","Area Legal para judicializar","-90-43","02","","","02"
"-91-43","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Catamarca","Femenino","17","No","No","Catamarca","Argentina","Masculino","34","NS/NC","No","No","1","Femenino","17","Catamarca","Grooming","Línea 145","ONG-Organismos nacionales","Protex ","-91-43","10","10","","10"
"-91-43","Nueva","No","Sí","No es Víctima","Masculino","25","CABA","Femenino","25","No","No","NS/NC","Países Limítrofes","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","25","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","-91-43","02","","","02"
"-93-43","Ampliatoria","Sí","No","Víctima Indirecta","Femenino","NS/NC","Buenos Aires","Femenino","13","No","No","Buenos Aires","NS/NC","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","NS/NC","Buenos Aires","Desaparición de personas","Línea 145","Boca en Boca","Protex ","-93-43","06","06","","06"
"-93-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","CABA","NS/NC","NS/NC","No","No","NS/NC","Otros Países","Masculino","NS/NC","ns/nc","No","No","NS/NC","NS/NC","NS/NC","caba","Explotación Laboral","Línea 145","NS/NC","Area Legal para judicializar","-93-43","02","","","02"
"-94-43","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Chubut","Femenino","22","No","No","NS/NC","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","22","Chubut","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","-94-43","26","","","26"
"-95-43","Nueva","No","No","No es Víctima","Femenino","NS/NC","Mendoza","Femenino","NS/NC","No","No","NS/NC","Argentina","Masculino","40","Mendoza","No","No","1","Femenino","NS/NC","Mendoza","Posible captación","Línea 145","NS/NC","Protex ","-95-43","50","","50","50"
"-95-43","Nueva","No","Sí","Víctima Directa","Femenino","NS/NC","Buenos Aires","Femenino","17","No","No","NS/NC","NS/NC","Masculino","49","Buenos Aires","No","No","NS/NC","Femenino","17","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","-95-43","06","","06","06"
"-95-43","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Chubut","Presencia de M y H","NS/NC","No","No","Chubut","NS/NC","Presencia de M y H","NS/NC","Chubut","Sí","No","10","Presencia de M y H","NS/NC","Chubut","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","-95-43","26","26","26","26"
"-95-43","Relacionada","No","Sí","No es Víctima","Masculino","28","Buenos Aires","Presencia de M y Trans","NS/NC","No","No","NS/NC","NS/NC","Trans","NS/NC","NS/NC","No","No","15","Presencia de M y Trans","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","Internet","Protex ","-95-43","06","","","06"
"-95-43","Nueva","No","No","Víctima Directa","Femenino","35","NS/NC","Femenino","35","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","1","Femenino","35","NS/NC","Oferta Laboral Engañosa","Línea 145","Boca en Boca","Protex ","-95-43","","","",""
"-95-43","Relacionada","no","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","45","No","No","caba","Argentina","Masculino","63","caba","No","Sí","1","Femenino","45","caba","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","-96-43","","02","02","02"
"-96-43","Nueva","NO","No","No es Víctima","Femenino","30","CABA","Femenino","15","No","No","NS/NC","Países Limítrofes","Masculino","30","NS/NC","Sí","No","2","Femenino","15","Caba","Posible captación","Línea 145","NS/NC","Gendarmería y Area Legal del PNR","-96-43","02","","","02"
"-96-43","Nueva","No","No","No es Víctima","Masculino","33","Misiones","Femenino","23","No","No","NS/NC","NS/NC","Masculino","23","Misiones","No","No","1","Femenino","23","Misiones","Posible captación","Línea 145","NS/NC","Protex","-96-43","54","","54","54"
"-96-43","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","Sí","Sí","NS/NC","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","-96-43","","","","02"
"-96-43","Nueva","no","Sí","No es Víctima","Femenino","23","NS/NC","Femenino","23","No","No","NS/NC","NS/NC","Masculino","NS/NC","caba","No","No","1","Femenino","23","CABA","Oferta Laboral Engañosa","Línea 145","NS/NC","Area Legal para judicializar","-96-43","","","02","02"
